Period '120111'  '120112'  '120121'  '120122'  '120411'  '120412'  '120521'  '120522'  '120611'  '120612'  '120621'  '120622'  '120711'  '120712'  '120721'  '120722'  '120811'  '120812'  '120821'  '120822'  '120911'  '120912'  '120921'  '120922'  '121011'  '121012'  '121021'  '121022'  '121111'  '121112'  '121211'  '121212'  '121221'  '121222'  '121321'  '121322'  '121411'  '121412'  '121421'  '121422'  '121511'  '121512'  '121711'  '121712'
0.05  0.290527  0.346758  0.347080  0.411274  0.474154  0.546941  0.295698  0.384768  0.332194  0.470159  0.378370  0.394693  0.534312  0.523764  0.267722  0.233433  0.229760  0.246761  0.312438  0.249325  0.242881  0.152713  0.360206  0.501991  0.776217  0.752814  0.616277  0.399203  0.422944  0.439396  0.312298  0.258987  0.530809  0.357944  0.316184  0.460090  0.172509  0.203702  0.567233  0.520219  0.511881  0.481277  0.566534  0.505330
0.06  0.317081  0.342593  0.364542  0.453100  0.524419  0.568394  0.293515  0.415440  0.364587  0.503339  0.400574  0.398647  0.554270  0.530796  0.268822  0.234862  0.224253  0.253782  0.415949  0.287274  0.241796  0.150346  0.404097  0.539678  0.776870  0.806913  0.702632  0.422354  0.414128  0.390434  0.313689  0.269858  0.540203  0.359822  0.317004  0.462796  0.178501  0.217411  0.582105  0.533940  0.512510  0.569316  0.559477  0.502738
0.07  0.314087  0.392902  0.374936  0.484199  0.638350  0.552603  0.321022  0.448514  0.382554  0.602486  0.434943  0.414362  0.573607  0.541447  0.270580  0.235081  0.243457  0.277942  0.409012  0.277073  0.243473  0.152812  0.405246  0.514630  0.808001  0.836847  0.729480  0.593742  0.435932  0.496859  0.355259  0.296731  0.843305  0.449543  0.315364  0.458450  0.201404  0.234485  0.589588  0.615302  0.614593  0.676639  0.597496  0.506338
0.08  0.288705  0.372271  0.366371  0.544734  0.715163  0.589217  0.333575  0.489446  0.518290  0.579404  0.551841  0.444271  0.597701  0.598115  0.272448  0.242775  0.245729  0.315249  0.346851  0.298836  0.242092  0.148373  0.479701  0.544159  0.776979  0.658331  0.804743  0.572352  0.455139  0.416883  0.372653  0.365000  0.574612  0.693339  0.314052  0.468536  0.217288  0.235635  0.609641  0.643414  0.656307  0.725899  0.652220  0.574598
0.09  0.397197  0.528143  0.457341  0.675450  0.619665  0.516744  0.325061  0.596417  0.517634  0.662420  0.529941  0.503074  0.626656  0.675568  0.277394  0.248050  0.254333  0.304855  0.350388  0.251501  0.243966  0.152220  0.545078  0.577364  0.888551  0.796463  0.899460  0.579394  0.463247  0.465215  0.317603  0.371435  0.533040  0.491820  0.320530  0.462468  0.209407  0.272821  0.610121  0.604748  0.862778  1.278446  0.777076  0.640411
0.10  0.321246  0.483822  0.552883  0.735653  0.537316  0.678990  0.424172  0.540421  0.798812  1.141366  0.612368  0.569786  0.688908  0.736889  0.295858  0.349490  0.268925  0.300175  0.367662  0.327672  0.247024  0.158336  0.478437  0.552776  1.003716  0.867543  1.148753  0.737755  0.724113  0.670271  0.403178  0.344563  0.607964  0.575669  0.326434  0.502401  0.262601  0.303850  0.597744  0.608010  1.234426  1.265869  0.877739  0.610025
0.11  0.351705  0.522155  0.597370  0.780556  0.560907  0.712206  0.458665  0.603512  0.819008  1.134284  0.758768  0.506116  0.649095  0.858808  0.375976  0.408617  0.268512  0.307953  0.447098  0.456755  0.246235  0.172937  0.469245  0.587935  1.373700  0.963005  1.271903  0.898580  0.793305  0.870290  0.496581  0.318038  0.632038  0.697919  0.316348  0.467962  0.218068  0.324167  0.618468  0.588725  1.131296  1.304438  0.804726  0.730561
0.12  0.489224  0.586261  0.634622  0.904703  0.623629  0.751525  0.464778  0.602203  0.818484  1.640902  0.686379  0.595436  0.732236  0.839263  0.418948  0.479175  0.307884  0.422488  0.496609  0.473622  0.257679  0.179744  0.572309  0.520260  1.381538  1.205526  1.541618  0.847965  0.793305  1.041341  0.581721  0.315081  0.719410  1.011237  0.366039  0.497564  0.269496  0.288705  0.652145  0.634299  1.391638  1.348877  0.816823  0.771460
0.13  0.540964  0.703279  0.626723  0.849656  0.599597  0.724285  0.483552  0.630037  0.863598  1.466215  0.705947  0.658093  0.829440  0.888900  0.536544  0.479505  0.294393  0.467022  0.605833  0.470085  0.249589  0.206281  0.781194  0.639754  1.115615  1.327330  1.583607  0.892770  0.826838  1.599519  0.702431  0.298209  0.685471  1.320680  0.405562  0.535037  0.283000  0.265474  0.613959  0.679970  1.358938  1.075957  0.943983  1.020596
0.14  0.629020  0.673602  0.578744  0.956923  0.540524  0.763604  0.635931  0.506365  0.839205  1.225824  0.653632  0.746095  0.780734  0.952909  0.578527  0.494671  0.310224  0.457179  0.677108  0.508987  0.250872  0.310260  0.757755  0.554155  1.315465  1.410928  1.471372  1.024371  0.851713  1.021740  0.689299  0.301775  0.833205  0.939015  0.441231  0.600225  0.262149  0.270563  0.640920  0.680545  1.180136  0.989805  1.069992  1.187503
0.15  0.624334  0.688180  0.577496  0.757190  0.552037  0.753664  0.796606  0.548062  0.876057  1.237890  0.824872  0.898173  0.755399  0.966353  0.597980  0.436643  0.329497  0.439146  0.810544  0.594136  0.310260  0.371918  0.698467  0.564266  1.413105  1.058577  1.507639  1.005357  1.008437  1.288353  0.734609  0.368565  0.967551  0.873251  0.610229  0.591287  0.318667  0.280496  0.616645  0.699926  1.202984  1.070507  1.013828  1.097353
